Cold Stone Creamery,Автомобили,"г. Ташкент , Шайхантахурскийский район,улица Укчи, 6",1.231775479
Labnet на Садыка Азимова,Автомобили,"ул. С. Азимова, 64",3.526332337
NS Medical (Филиал Беруни),Автомобили,ул. Беруни 6,1.203359759
HR Baraka Group,Автомобили,"Ташкент, ул. ШАХРИСАБЗ, 38/1",1.978139884
TENGE BANK АКБ ФИЛИАЛ ТАШКЕНТ,Автомобили,"Яккасарайский район, ул. Ш.Руставели 12",3.829033774
Medion Dental Care,Автомобили,"ул. Зульфияханум, 18",1.160708416
SIFAT BAHOLASH,Автомобили,"квартал-7, дом №45",4.248730794
Lovely Tour,Автомобили,"улица Шота Руставели, 56/10",4.940449465
ALTAY MKP IMPEX,Автомобили,Улица Шула 109,4.185494539
Veterinary Clinic Dr. Ramazon ,Автомобили,"ул. Катта Дархон, д 3",2.174285697
WORLD PETROLEUM,Автомобили,"Яшнабадский район, улица Мухтор Ашрафий",3.765033713
FOOD TECH TRADE,Автомобили,"Яккасарайский р-н, ул. Чапаната 43",1.576718982
Klinika Saidhoji,Автомобили,"Тансикбаева, улица Бешкурган 2/11 А дом",4.61847619
TASHKENT INSURANCE GROUP,Автомобили,"100011, Шайхонтохурский пр-т НАВОИ, 31",4.80156912
JSR TRANSPORT LOGISTICS ООО,Автомобили,"ул. БАЙКАРО, 51",4.42556931
Darmon shifo maskani (Чиланзарский филиал),Автомобили,"Чиланзарский район, 24 квартал, улица Лутфий 8 дом 77 квартира",3.930787084
СЭС Юнусабадского района,Автомобили,"кв-л Юнусабад-8, 34",4.189518122
Ташкентская Взрослая Стоматологическая Поликлиника №7,Автомобили,Показать схему проезда на карте,1.950450377
Родильный Комплекс При Городской Клинической Больнице №4,Автомобили,"ул. Бирлашган, 1",4.561524896
Qora-Su Denta,Автомобили,"м-в Карасу-3, 4",2.354604411
Лечебный научно-производственный центр Узбекистан,Автомобили,"пр-т Навои, 2",4.796288756
Food Upak Market,Автомобили,"Яшнабадский р-н, ул. Фаргона йули, 23а",1.289797669
